epoch,loss,val_loss,training_time
0,2834.7260284567915,1714.0168827046077,4.597491502761841
1,1383.1708142908258,1218.8114352563962,2.37612247467041
2,1173.6658525187752,1143.9952188551258,2.3674986362457275
3,1123.7855980776749,1097.1194418239863,2.3608639240264893
4,1055.9766498165834,991.5338667310331,2.3567922115325928
5,874.4217838218913,683.399312049066,2.352722406387329
6,423.9361014649821,141.1044309362136,2.368555784225464
7,48.80183443964597,20.11726188659668,2.3562045097351074
8,18.547847522667155,17.242783592375414,2.363539218902588
9,16.54226977156512,15.869605488547522,2.3663249015808105
10,15.367641508410403,14.972822910665453,2.341346025466919
11,14.743757066015256,14.480804097551124,2.356168746948242
12,14.28344679554191,14.10176780473747,2.3530263900756836
13,13.933856750682798,13.837946591904075,2.3619987964630127
14,13.703441990896483,13.631947819977238,2.364001989364624
15,13.539235224917432,13.470456817670179,2.3470005989074707
16,13.38665423604877,13.321300541712947,2.3738832473754883
17,13.243696010146532,13.20647484452461,2.376803159713745
18,13.136990202272468,13.158929973418584,2.351219415664673
19,13.006598434772437,12.971422433177743,2.3558220863342285
20,12.900777651072675,12.8720658629204,2.377112865447998
21,12.79079058938031,12.856786282136826,2.3725152015686035
22,12.842101918401529,12.791077813750961,2.3544797897338867
23,12.613248852089512,12.5664322153367,2.3662221431732178
24,12.465539961968872,12.427479825006328,2.357229709625244
25,12.341940084642909,12.27322747822186,2.3618319034576416
26,12.136154806985395,12.041632049819903,2.3777449131011963
27,11.842210174394847,11.662255903141357,2.366786479949951
28,11.371419286142553,10.923216687383462,2.35929799079895
29,10.60762139105144,10.171241219928515,2.36419677734375
30,9.908849394692915,9.668325424194336,2.3656809329986572
31,9.512265136041542,9.289347197448903,2.3653647899627686
32,9.15071849714933,9.041182790869694,2.3468687534332275
33,8.938862333216681,8.853892880188507,2.3472676277160645
34,8.738086198837381,8.680048013206244,2.3621037006378174
35,8.602791087373008,8.714738402758375,2.331892251968384
36,8.4800292628345,8.434488026346093,2.385361909866333
37,8.370623236449966,8.352873248351532,2.373072624206543
38,8.338184826772544,8.306141785791846,2.378626585006714
39,8.40375705121034,8.289322339779257,2.3803579807281494
40,8.183466497066451,8.1767657795979,2.3939242362976074
41,8.118212035289904,8.127484645789472,2.3582229614257812
42,8.071196804190718,8.082837364153551,2.356940507888794
