epoch,loss,val_loss,training_time
0,2.329874123797538,3.2024248508319637,13.28912615776062
1,2.1491514392007174,3.1386157562982597,7.2904582023620605
2,1.9588925761924363,3.158190600004142,7.233799934387207
3,1.8572314285353966,2.993807412916135,7.313021421432495
4,1.7914926505966835,3.042877152097799,7.263702869415283
5,1.7745108620190644,3.0362884066260234,7.271753549575806
6,1.6831507462167425,2.6039406757685684,7.342098712921143
7,1.7404513705778617,2.4619455024304537,7.4123780727386475
8,1.628041839577096,2.770478555906258,7.318280220031738
9,1.5457539673792628,2.9408156207364273,7.325700998306274
10,1.5648864938246967,2.656074879189726,7.339682102203369
11,1.5115589901903421,2.380174171316725,7.403164625167847
12,1.6097296803936405,2.267079534172674,7.414834260940552
13,1.357883222267468,2.5890358722750255,7.347535610198975
14,1.4762283222533488,2.130783318206879,7.445103168487549
15,1.3691327456768332,2.885640166130012,7.392347574234009
16,1.287516390523109,1.9375072937173816,7.45502233505249
17,1.359557542798652,2.4923567501748924,7.3761067390441895
18,1.2718946049526347,2.382308839738538,7.3654868602752686
19,1.2167833695668338,2.5733893736563727,7.369132995605469
20,1.1825588444587305,2.4123610780698383,7.364982843399048
21,1.2383628288060566,2.2686844492600255,7.356050729751587
22,1.1973197281191774,2.3483825489752017,7.356568813323975
23,1.1616815586378262,2.2178060190366957,7.359520673751831
24,1.033164859205006,2.4688694831669835,7.365671634674072
25,1.05194975482168,2.3409834483021044,7.354088068008423
26,1.0350248617761195,2.2961561939027426,7.356450080871582
27,0.9861181277616391,2.216297552116194,7.376348257064819
28,1.0205700529477189,2.2888622934014533,7.400346755981445
29,1.0122148844292977,2.363355736556877,7.400851726531982
30,0.9167925559540083,2.508485246819072,7.398282289505005
31,0.8967953435197206,2.6992516076092006,7.365475177764893
